标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
《诚信服务》景观房 毛坯大平层 邗江路三盛商圈 市人医	三盛国际广场	2016	4室2厅2卫	143	低层(共30层)	14545	毛坯	208	邗江	现代广场	邗江中路358号	2018年7月2日	https://yangzhou.anjuke.com/prop/view/A1306401852?from=filter&spread=commsearch_p&position=46&kwtype=filter&now_time=1531915909
万达对面润扬广场121平 精装三室两厅 二房朝南一楼带车库	润扬广场住宅区	2002	3室2厅1卫	121	低层(共9层)	15107	精装修	182.8	邗江	汽车西站	邗江中路	2018年7月12日	https://yangzhou.anjuke.com/prop/view/A1320208392?from=filter&spread=commsearch_p&position=45&kwtype=filter&now_time=1531915909
独 家房源金地艺境3房豪华装修基本未住楼层好中海运河依云富川	金地艺境	2015	3室2厅1卫	100	中层(共18层)	13480	豪华装修	134.8	邗江	邗江工业园	吴洲东路	2018年7月11日	https://yangzhou.anjuke.com/prop/view/A1318960902?from=filter&spread=commsearch_p&position=44&kwtype=filter&now_time=1531915909
距火车站一刻钟 南北通透 飞机户型观唐别院花园洋房暖山京华城	观唐别院	2018	3室2厅1卫	102	中层(共9层)	6764	毛坯	69	仪征市	仪征市	"扬冶路,近新盘公路"	2018年6月16日	https://yangzhou.anjuke.com/prop/view/A1284761577?from=filter&spread=commsearch_p&position=36&kwtype=filter&now_time=1531915909
新港名城花园，精装修带电梯，靠西区大润发，海德公园，锦苑	新港名城花园	2008	3室2厅2卫	143.3	高层(共9层)	13889	精装修	199	邗江	汽车西站	文昌西路175号	2018年7月13日	https://yangzhou.anjuke.com/prop/view/A1321999815?from=filter&spread=commsearch_p&position=35&kwtype=filter&now_time=1531915909
欧尚宝带2室精装楼层佳送大车库满五唯一靠宝带银苑康乐四季园	宝带新村	2005	2室2厅1卫	84	共5层	13095	精装修	110	维扬	市政府	文汇东路340号	2018年7月18日	https://yangzhou.anjuke.com/prop/view/A1328424969?from=filter&spread=commsearch_p&position=34&kwtype=filter&now_time=1531915909
《钰堂品质》急急育才京杭融园中层豪华装修飞机户型带车库	京杭融园	2013	3室2厅2卫	133	高层(共18层)	14436	豪华装修	192	广陵	东花园路	人民路1号	2018年7月4日	https://yangzhou.anjuke.com/prop/view/A1309257624?from=filter&spread=commsearch_p&position=33&kwtype=filter&now_time=1531915909
骏和玲珑湾，毛坯2房，南北通透，振兴双语校区，顺达万达商圈	骏和玲珑湾	2010	2室2厅1卫	85	低层(共11层)	15623	毛坯	132.8	邗江	邗江工业园	邗江中路140号	2018年7月10日	https://yangzhou.anjuke.com/prop/view/A1317812907?from=filter&spread=commsearch_p&position=32&kwtype=filter&now_time=1531915909
文昌北苑2室2厅精装电梯房 朝南文昌花园骏和天城旁	文昌北苑	2005	2室2厅1卫	78	高层(共7层)	8076	精装修	63	广陵	曲江公园	安康路43号	2018年6月18日	https://yangzhou.anjuke.com/prop/view/A1287217353?from=filter&spread=commsearch_p&position=31&kwtype=filter&now_time=1531915909
育才本部学面积小总价低直接入户	南门新村	2013	2室1厅1卫	25	共1层	26000	简单装修	65	广陵	荷花池	南通西路81号	2018年7月18日	https://yangzhou.anjuke.com/prop/view/A1328680182?from=filter&spread=commsearch_p&position=30&kwtype=filter&now_time=1531915909
急卖急卖 扬州天下一期联排豪装 位置好采光好 有院子 需全款	扬州天下东升苑	2009	5室3厅3卫	220	共3层	20454	精装修	450	维扬	瘦西湖	扬子江北路518号	2018年7月5日	https://yangzhou.anjuke.com/prop/view/A1310835585?from=filter&spread=commsearch_p&position=29&kwtype=filter&now_time=1531915909
京华城商圈集元居联排别墅238平方一口价房源198万紧邻暖山	集元居	2015	4室3厅4卫	238	共3层	8319	毛坯	198	仪征市	仪征市	"栖凤街,近人民路"	2018年5月20日	https://yangzhou.anjuke.com/prop/view/A1241863716?from=filter&spread=commsearch_p&position=28&kwtype=filter&now_time=1531915909
{卓杰}京华城观唐别院首付20万电梯花园洋房靠文昌西路	观唐别院	2015	4室2厅2卫	125	低层(共8层)	6944	毛坯	86.8	仪征市	仪征市	"扬冶路,近新盘公路"	2018年6月16日	https://yangzhou.anjuke.com/prop/view/A1284730131?from=filter&spread=commsearch_p&position=27&kwtype=filter&now_time=1531915909
